UNDID,Reversed a previous action
DRIER,Less wet or moist
CREPT,Past tense of creep
SHORE,The land along the edge of a sea, lake, or river
CHOCK,A wedge or block placed against a wheel to prevent it from moving
AGLOW,Glowing
SEIZE,To take hold of suddenly and forcibly
TRIPE,The first or second stomach of a ruminant, used as food
LURID,Very vivid in color, especially so as to create an unpleasantly harsh effect
UNMET,Not fulfilled or satisfied
RULER,A person exercising government or dominion
DELAY,To make someone or something late or slow
TWEAK,To twist or pull something sharply
STILL,Not moving or making a sound
GREET,To give a word or sign of welcome
WELSH,Relating to Wales
CREME,Cream (in French)
TAPER,To diminish or reduce in thickness toward one end
NINJA,A person skilled in the Japanese art of ninjutsu
WHICH,Asking for information specifying one or more people or things from a definite set
PURSE,A small bag for carrying money
CREST,A comb or tuft of feathers on a bird's head
FLARE,A sudden brief burst of bright flame or light
REFIT,To repair or restore a ship
GLINT,A small flash of light
GODLY,Devoutly religious; pious
PUTTY,A soft, malleable, greasy compound
YEAST,A microscopic fungus used in brewing and baking
CRISP,Firm, dry, and brittle
MANGO,A fleshy, oval, yellowish-red tropical fruit
CLIMB,To go up or ascend
GLAND,An organ in the body that secretes chemical substances
MINCE,To cut up or grind into very small pieces
PROUD,Feeling deep pleasure or satisfaction
SIGMA,The eighteenth letter of the Greek alphabet
WEARY,Feeling or showing tiredness
MERGE,To combine or join together
SHUNT,To push or pull a train from one track to another
BOOZE,Alcoholic drink
STEED,A horse for riding
SHIED,Past tense of shy; to move suddenly away from something in fear
SHARP,Having a cutting or piercing edge or point
GRIMY,Covered with or characterized by grime
DRAWN,Looking pale and exhausted
FARCE,A comic dramatic work using buffoonery and horseplay
TOXIN,A poison of plant or animal origin
ELFIN,Small and delicate, like an elf
CANON,A general law, rule, principle, or criterion
FLOWN,Past participle of fly
CHOIR,An organized group of singers
CREAK,A harsh, scraping, or squeaking sound
SOLID,Firm and stable in shape; not liquid or fluid
TALLY,A current score or account
MOODY,Given to unpredictable changes of mood
DUTCH,Relating to the Netherlands
OCCUR,To happen or take place
KNELT,Past tense of kneel
FORAY,A sudden attack or incursion into enemy territory
SLING,A flexible strap or belt used in the form of a loop to support or raise a weight
GULLY,A water-worn ravine
TIMER,A device that measures time
STOKE,To add coal or other solid fuel to a fire
WEDGE,A triangular shaped tool
STEEP,Rising or falling sharply
BAGGY,Loose and hanging in folds
NICER,More pleasant or attractive
BEAST,An animal, especially a large or dangerous four-footed one
INCUR,To become subject to something unwelcome or unpleasant
SALAD,A cold dish of various mixtures of raw or cooked vegetables
TROUT,A freshwater fish of the salmon family
ROUGH,Having an uneven or irregular surface
PROXY,The authority to represent someone else
PAUSE,A temporary stop in action or speech
EXACT,Not approximated in any way; precise
CHECK,To examine something in order to determine its accuracy
EXPEL,To officially make someone leave a school or other organization
SWING,To move back and forth or from side to side
DRUID,A priest, magician, or soothsayer in the ancient Celtic religion
SNOUT,The projecting nose and mouth of an animal
HUNKY,Solid, strong, and sexually attractive
BERRY,A small, pulpy, and often edible fruit
STEAD,In place of
GROVE,A small wood or other group of trees
BEGAT,Past tense of beget; to bring a child into existence
WOMAN,An adult human female
OFFER,To present or proffer something for someone to accept or reject
LATHE,A machine for shaping wood or metal by means of a rotating drive
MIDGE,A small two-winged fly
FRAUD,Wrongful or criminal deception intended to result in financial or personal gain
SAVVY,Shrewdness and practical knowledge
BETEL,An Asian climbing plant
MILKY,Resembling milk in color or consistency
REHAB,A course of treatment for drug or alcohol dependence
PIGGY,Resembling a pig
FIFTH,Constituting number five in a sequence
SHONE,Past tense of shine
THORN,A stiff, sharp-pointed woody projection on the stem of a plant
SHIFT,To move or cause to move from one place to another
DOWRY,Property or money brought by a bride to her husband on their marriage
BASIN,A bowl for washing
TRACT,An area of indefinite extent, typically a large one
PICKY,Fussy and hard to please
SWIFT,Happening quickly or promptly
HOMER,A long hit in baseball that allows the batter to run around all the bases
EQUIP,To supply with the necessary items for a particular purpose
FATTY,Containing a large amount of fat
TWINE,Strong string or cord
MINER,A person who works in a mine
USURP,To take a position of power illegally or by force
OPIUM,A reddish-brown heavy-scented addictive drug
MOTIF,A decorative design or pattern
SWAMP,An area of low-lying, uncultivated ground where water collects
REMIT,To cancel or refrain from exacting a debt or punishment
VEGAN,A person who does not eat or use animal products
GAWKY,Nervously awkward and ungainly
REVEL,To enjoy oneself in a lively and noisy way
CRONY,A close friend or companion
SHARD,A piece of broken ceramic, metal, glass, or rock
RIPER,More mature and ready to be eaten
DANDY,A man unduly devoted to style, neatness, and fashion in dress and appearance
ALIVE,Living; not dead
ARISE,To emerge; become apparent
THEFT,The action or crime of stealing
SWIRL,To move in a twisting or spiraling pattern
KNIFE,An instrument with a blade and handle, used for cutting
CLOVE,The dried flower bud of a tropical tree, used as a pungent spice
TABOO,A social or religious custom prohibiting discussion of a particular practice
BUILD,To construct by putting parts or material together
ENDOW,To give or bequeath an income or property to a person or institution
AORTA,The main artery of the body
SMACK,A sharp slap or blow
NOVEL,A fictitious prose narrative of book length
GAMER,A person who plays video games or participates in role-playing games
GROPE,To feel about or search blindly or uncertainly with the hands
OPINE,To hold and state as one's opinion
BLAND,Lacking strong features or characteristics
SEVEN,The number equivalent to the sum of three and four
HUSKY,Big and strong; burly
SPAWN,To release or deposit eggs
FEWER,A smaller number of
NASAL,Relating to the nose
VIGIL,A period of keeping awake during the time usually spent asleep
REARM,To arm again
STRAW,Dried stalks of cereal plants
PANSY,A popular garden plant with large, brightly colored flowers
THIGH,The part of the human leg between the hip and the knee
SPICE,An aromatic or pungent vegetable substance used to flavor food
LUNGE,A sudden forward thrust of the body
TRAIT,A distinguishing quality or characteristic
SPURT,A sudden gush or stream
SNARL,To make an aggressive growl with bared teeth
GNASH,To grind one's teeth together
SNEER,A contemptuous or mocking smile, remark, or tone
JEWEL,A precious stone
CYNIC,A person who believes that people are motivated purely by self-interest
MUSHY,Soft and pulpy
MANLY,Having qualities traditionally associated with men
FREAK,A person, animal, or plant with an unusual physical abnormality
MANGY,In poor condition; shabby and squalid
ALLEY,A narrow passageway between or behind buildings
LAGER,A kind of beer, light in color and body
HUMUS,The organic component of soil
CAIRN,A mound of rough stones built as a memorial or landmark
LOUSE,A small, wingless, parasitic insect
NAVAL,Relating to a navy or navies
SCANT,Barely sufficient or adequate
QUILL,A main wing or tail feather of a bird
SHELL,The hard protective outer case of a mollusk or crustacean
WEEDY,Containing or covered with many weeds
BRASS,A yellow alloy of copper and zinc
CHAIR,A seat for one person, with a back and typically four legs
ADOBE,A kind of clay used as a building material
SHAKE,To move an object up and down or from side to side with rapid, forceful, jerky movements
SPADE,A tool with a sharp-edged, typically rectangular, metal blade and a long handle
LINEN,A textile made from the fibers of the flax plant
EXULT,To show or feel elation or jubilation
HYPER,Overexcited or unusually energetic
MARSH,An area of low-lying land which is flooded in wet seasons or at high tide
STUNG,Past participle of sting
GLOBE,The earth
FLUKE,An unlikely chance occurrence, especially a surprising piece of luck
HEDGE,A fence or boundary formed by closely growing bushes or shrubs
ALIKE,In a similar way
FROCK,A woman's or girl's dress
ANGEL,A spiritual being believed to be an attendant or messenger of God
AGONY,Extreme physical or mental suffering
PRICE,The amount of money expected, required, or given in payment for something
ALTER,To change or cause to change in character or composition
SKIER,A person who skis
STERN,Serious and unrelenting, especially in the assertion of authority
SKIRT,A woman's outer garment fastened around the waist and hanging down around the legs
STUNK,Past participle of stink
MOTOR,A machine that converts electrical or other energy into mechanical motion
MODEM,A device that enables a computer to transmit data over telephone or cable lines
PATIO,A paved outdoor area adjoining a house
BOUGH,A main branch of a tree
CLINK,A sharp, ringing sound
ERODE,To gradually wear away
SHAPE,The external form or appearance of someone or something
SCORE,The number of points, goals, runs, etc., achieved in a game
FUROR,An outbreak of public anger or excitement
SADLY,In a sad manner
SKUNK,A black-and-white striped mammal of the weasel family
VALET,A man's personal male attendant
PUPIL,The dark circular opening in the center of the iris of the eye
AUDIO,Sound, especially when recorded, transmitted, or reproduced
SHAVE,To cut the hair off one's face or body
FRIAR,A member of any of certain religious orders of men
ADIEU,Goodbye
SCOLD,To remonstrate with or rebuke angrily
ELUDE,To escape from or avoid a danger, enemy, or pursuer
LILAC,A Eurasian shrub of the olive family, that has fragrant violet, pink, or white blossoms
ADORN,To make more beautiful or attractive
PEACE,Freedom from disturbance; tranquility
RENAL,Relating to the kidneys
MERIT,The quality of being particularly good or worthy
HORDE,A large group of people
DRESS,A one-piece garment for a woman or girl
LUCID,Expressed clearly; easy to understand
DRINK,To take a liquid into the mouth and swallow
SINGE,To burn superficially or lightly
GAMUT,The complete range or scope of something
FUSSY,Hard to please
VOUCH,To assert or confirm as a result of one's own experience
AUDIT,An official inspection of an individual's or organization's accounts
SOUND,Vibrations that travel through the air or another medium
FREER,Less restricted
MOIST,Slightly wet; damp or humid
AGILE,Able to move quickly and easily
CRUMB,A small fragment of bread, cake, or cracker
COMIC,Causing or meant to cause laughter
DEATH,The action or fact of dying or being killed
TEPID,Only slightly warm; lukewarm
WATCH,To look at or observe attentively over a period of time
KNOLL,A small hill or mound
BULLY,A person who uses strength or influence to harm or intimidate those who are weaker
ELECT,To choose someone to hold public office or some other position by voting
PRIDE,A feeling of deep pleasure or satisfaction derived from one's own achievements
CAULK,A waterproof filler and sealant
SOBER,Not affected by alcohol; not drunk
SLANT,A sloping position
RALLY,A mass meeting of people making a political protest or showing support for a cause
CROAK,A characteristic deep hoarse sound made by a frog or crow
DODGE,To avoid someone or something by a sudden quick movement
COWER,To crouch down in fear
DIZZY,Having or causing a sensation of spinning around and losing one's balance
TORSO,The trunk of the human body
LEANT,Past tense of lean
CLUNG,Past participle of cling
CONIC,Relating to or resembling a cone
RISEN,Past participle of rise
BRICK,A small rectangular block used in building
MANGE,A skin disease of mammals caused by parasitic mites
PRUNE,A plum preserved by drying
PRAWN,A marine crustacean that resembles a large shrimp
WRONG,Not correct or true
STARK,Severe or bare in appearance or outline
CREAM,The thick, fatty part of milk
EDICT,An official order or proclamation issued by a person in authority
PIXEL,A minute area of illumination on a display screen
LLAMA,A domesticated pack animal of the camel family
RODEO,An exhibition or contest in which cowboys show their skill
GAMMA,The third letter of the Greek alphabet
REPLY,To say something in response to something someone has said
USING,The action of taking or holding something for a purpose
DEBUG,To identify and remove errors from computer hardware or software
MUSTY,Having a stale, moldy, or damp smell
CABBY,A taxi driver
FELON,A person who has been convicted of a felony
EXCEL,To be exceptionally good at or proficient in an activity or subject
VALUE,The regard that something is held to deserve
TULIP,A bulbous spring-flowering plant of the lily family
HOTEL,An establishment providing accommodations, meals, and other services for travelers
PENNY,A one-cent coin
EJECT,To force or throw something out in a violent or sudden way
LEARN,To gain or acquire knowledge of or skill in something
RIVET,A short metal pin or bolt for holding together two plates of metal
DEUCE,The two in cards or dice
LOWER,Less high in position
BEEFY,Muscular or robust
GRASS,Vegetation consisting of typically short plants with long, narrow leaves
MICRO,Extremely small
TOUCH,To come into or be in contact with
FLYER,A small handbill advertising an event or product
CLIFF,A steep rock face, especially at the edge of the sea
CHOSE,Past tense of choose
FLOAT,To rest or move on or near the surface of a liquid without sinking
SMOKY,Filled with or smelling of smoke
HOLLY,A shrub with prickly dark green leaves and red berries
HOARD,A stock or store of money or valued objects
PATCH,A piece of cloth or other material used to mend or strengthen a weak point
HEART,A hollow muscular organ that pumps the blood
HENCE,As a consequence; for this reason
FLICK,A sudden sharp movement
SAVOY,A cabbage of a variety with a firm, wrinkled head
BRACE,A device that clamps things tightly together or holds them in position
MONTH,Each of the twelve named periods into which a year is divided
ARRAY,An impressive display or range of a particular type of thing
LEGAL,Permitted by law
CUBIC,Having the form of a cube
UNTIE,To undo or unfasten a knot or something tied
DYING,Approaching death
GUEST,A person who is invited to visit the home of or take part in a function organized by another
LABEL,A small piece of paper, fabric, plastic, or similar material attached to an object
THYME,A low-growing aromatic plant of the mint family
TURBO,A supercharger driven by a turbine powered by the engine's exhaust gases
TREAT,To behave toward or deal with in a certain way
RUGBY,A team game played with an oval ball
MADLY,In a mad, wild, or uncontrolled manner
EBONY,A heavy blackish or very dark brown timber
GUAVA,A pale orange tropical fruit with pink, juicy flesh
BRUSH,An implement with a handle, consisting of bristles, hair, or wire
APTLY,In a manner that is appropriate or suitable in the circumstances
EATEN,Past participle of eat
QUEEN,The female ruler of an independent state
MUSIC,Vocal or instrumental sounds combined in such a way as to produce beauty of form, harmony, and expression of emotion
CHAFF,The husks of corn or other seed separated by winnowing or threshing
SCRAP,A small piece or amount of something
TESTY,Easily irritated; impatient and somewhat bad-tempered
VITAL,Absolutely necessary or important; essential
TRUST,A firm belief in the reliability, truth, ability, or strength of someone or something
USHER,A person who shows people to their seats
ODDLY,In a strange or peculiar manner
PAYER,A person who pays something
PADDY,A field where rice is grown
AGAIN,Another time; once more
POUCH,A small bag or other flexible receptacle
SHEEN,A soft luster on a surface
ROBIN,A small Old World thrush with a red breast
LINGO,A foreign language or local dialect
TOOTH,Each of a set of hard, bony enamel-coated structures in the jaws
FLUNG,Past tense of fling
TROPE,A figurative or metaphorical use of a word or expression
LEFTY,A left-handed person
SLINK,To move smoothly and quietly with gliding steps
REALM,A kingdom
BASAL,Forming or belonging to a base
REBUT,To claim or prove that evidence or an accusation is false
HERON,A large fish-eating wading bird with long legs, a long S-shaped neck, and a long pointed bill
VOCAL,Relating to the human voice
BLISS,Perfect happiness; great joy
CAVIL,To make petty or unnecessary objections
THING,An object that one need not, cannot, or does not wish to give a specific name to
MAMBO,A Latin American dance similar in rhythm to the rumba
RELIC,An object surviving from an earlier time
MINUS,With the subtraction of
ORDER,The arrangement or disposition of people or things in relation to each other
PERKY,Cheerful and lively
STINT,A person's fixed or allotted period of work
DWELL,To live in or at a specified place
HURRY,To move or act with great speed
AFIRE,On fire
NOSEY,Showing too much curiosity about other people's affairs
INANE,Silly; stupid
ALLOT,To give or apportion something to someone as a share or task
PASTA,A dish originally from Italy consisting of dough made from durum wheat and water
RINSE,To wash something with clean water to remove soap, dirt, or impurities
GRAVE,A place of burial for a dead body
LEMUR,An arboreal primate with a pointed snout and typically a long tail
FLOCK,A number of birds of one kind feeding, resting, or traveling together
OWING,Yet to be paid
GHOUL,An evil spirit or phantom
LUCKY,Having, bringing, or resulting from good luck
TRITE,Overused and consequently of little import; lacking originality
QUELL,To put an end to a rebellion or other disorder, typically by the use of force
JUDGE,A public official appointed to decide cases in a court of law
SOOTY,Covered with or colored like soot
SWARM,A large or dense group of insects
SLASH,To cut with a wide, sweeping stroke
SIXTY,The number equivalent to the product of six and ten
GONER,A person or thing that is doomed or cannot be saved
AIDER,A person who helps another
DECAL,A design prepared on special paper for transfer onto another surface
DWELT,Past tense of dwell
BUYER,A person who makes a purchase
STUDY,The devotion of time and attention to acquiring knowledge on an academic subject
VISIT,To go to see and spend time with someone socially
ABIDE,To accept or act in accordance with a rule, decision, or recommendation
FLUME,A deep narrow channel or ravine with a stream running through it
TAMER,A person who tames animals
CLAMP,A brace, band, or clasp for strengthening or holding things together
KNACK,An acquired or natural skill at performing a task
STINK,A strong, unpleasant smell
DINGO,A wild or half-domesticated dog native to Australia
STAMP,To impress a pattern or mark on a surface, object, or document
DECAY,To rot or decompose through the action of bacteria and fungi
BRINK,The extreme edge of land before a steep slope or a body of water
TRUCE,An agreement between enemies or opponents to stop fighting
CINCH,An extremely easy task
SCALE,Each of the small, thin, horny or bony plates protecting the skin of fish and reptiles
CANOE,A narrow, keelless boat with pointed ends
WHALE,A very large marine mammal with a streamlined hairless body
CANNY,Having or showing shrewdness and good judgment
AWAIT,To wait for an event
AGAPE,With the mouth wide open, as in wonder or surprise
ROWER,A person who rows a boat
TRULY,In a truthful way
PROVE,To demonstrate the truth or existence of something by evidence or argument
SPOKE,Each of the bars or wire rods connecting the center of a wheel to its rim
UNSET,Not set or fixed
HITCH,To move something into a different position with a jerk
VOWEL,A speech sound which is produced by comparatively open configuration of the vocal tract
CLUED,Aware of or informed about something
JUICY,Full of juice; succulent
ANKLE,The joint connecting the foot with the leg
OBESE,Grossly fat or overweight
PUSHY,Excessively or unpleasantly self-assertive or ambitious
READY,In a suitable state for an action or situation
UTILE,Useful
ALERT,Quick to notice any unusual and potentially dangerous or difficult circumstances
WOMEN,Plural of woman
HEFTY,Large and heavy
THOSE,Plural of that
SEVER,To divide by cutting or slicing
GAZER,A person who looks steadily and intently at someone or something
LEVEL,Having a flat, horizontal surface
COURT,A body of people presided over by a judge
RISKY,Involving the chance of failure or loss
MAUVE,A pale purple color
PRIOR,Existing or coming before in time, order, or importance
GOLLY,A mild expression of surprise or wonder
MOURN,To feel or show deep sorrow or regret for someone or their death
GIANT,An imaginary or mythical being of human form but superhuman size
MAFIA,An organized international body of criminals
HELIX,A three-dimensional shape like a coil of a wire
BRAKE,A device for slowing or stopping a moving vehicle
JAUNT,A short excursion or journey for pleasure
DICEY,Unpredictable and potentially dangerous
CHURN,To agitate cream or milk in a machine in order to produce butter
REIGN,To hold royal office; rule as king or queen
BAWDY,Dealing with sexual matters in a comical way
MONEY,A current medium of exchange in the form of coins and banknotes
FIEND,An evil spirit or demon
SHOUT,To speak loudly and forcefully
GIPSY,Variant of gypsy
CURVY,Having a smoothly curved outline
SPURN,To reject with disdain or contempt
RETCH,To make the sound and movement of vomiting
VILLA,A large and luxurious country house in its own grounds
SCRAM,To leave or go away from a place quickly
HAVOC,Widespread destruction
CRASH,To collide violently with an obstacle or another vehicle
MANOR,A large country house with lands
PITCH,The quality of a sound governed by the rate of vibrations producing it
FLUFF,Soft fibers from textiles
SHORT,Measuring a small distance from end to end
DULLY,In a way that lacks interest or excitement
SEPIA,A reddish-brown color associated with early photographs
ENEMY,A person who is actively opposed or hostile to someone or something
EAGLE,A large bird of prey with a massive hooked bill and long, broad wings
RADAR,A system for detecting the presence, direction, distance, and speed of aircraft, ships, and other objects
BALER,A machine for making hay or paper into bales
WELCH,To fail to honor a debt or obligation
IMPEL,To drive, force, or urge someone to do something
JELLY,A sweet, clear, semisolid, preservative spread
REBEL,A person who rises in opposition or armed resistance against an established government or ruler
CRESS,A plant with pungent-tasting leaves
CAUSE,A person or thing that gives rise to an action, phenomenon, or condition
CHILD,A young human being below the age of puberty or below the legal age of majority
SCARE,To cause great fear or nervousness in; frighten
SWELL,To become or make greater in intensity, number, amount, or volume
EASEL,A wooden frame for holding an artist's work while it is being painted
VIDEO,The recording, reproducing, or broadcasting of moving visual images
PRIZE,A thing given as a reward to the winner of a competition or race
SAPPY,Overly sentimental
PSALM,A sacred song or hymn
PANEL,A flat or curved component, typically rectangular, that forms or is set into the surface of a door, wall, or ceiling
BELIE,To fail to give a true notion or impression of something
BROKE,Having completely run out of money
THICK,With the opposite sides or surfaces far apart
SPOOK,A ghost
LADLE,A large long-handled spoon with a cup-shaped bowl
SHACK,A roughly built hut or cabin
TEPEE,A cone-shaped tent
HYENA,A doglike nocturnal mammal of Africa and southern Asia
SEMEN,The male reproductive fluid
BINGO,A game in which players mark off numbers on cards as the numbers are drawn randomly
SILKY,Soft, fine, and shiny
STEAL,To take another person's property without permission
STRIP,To remove all coverings from
MIGHT,Possessing great and impressive power or strength
NIECE,A daughter of one's brother or sister
BOXER,A person who takes part in the sport of boxing
STOOD,Past tense of stand
SPITE,A desire to hurt, annoy, or offend someone
GIRLY,Characteristic of or appropriate to a girl or young woman
FENCE,A barrier, railing, or other upright structure
VALOR,Great courage in the face of danger
POESY,Poetry
SULKY,Morose, bad-tempered, and resentful
LIPID,Any of a class of organic compounds that are fatty acids or their derivatives
CLEAT,A T-shaped piece of metal or wood on a boat or ship, to which ropes are tied
PROOF,Evidence or argument establishing a fact or the truth of a statement
LEAVE,To go away from
DAUNT,To make someone feel intimidated or apprehensive
BOUND,To walk or run with leaping strides
SPLAT,A sound of something soft and wet hitting a surface
COVEN,A group or gathering of witches
SWILL,To drink something greedily or in large quantities
WRATH,Extreme anger
MISER,A person who hoards wealth and spends as little money as possible
APING,Imitating the behavior or manner of someone or something
ORBIT,The curved path of a celestial object or spacecraft around a star, planet, or moon
BATTY,Mad; insane
KEBAB,A dish of pieces of meat, fish, or vegetables roasted or grilled on a skewer
BOBBY,A British police officer
MOLAR,A grinding tooth at the back of a mammal's mouth
RAMEN,A Japanese noodle soup dish
WATER,A colorless, transparent, odorless liquid
FORTE,A thing at which someone excels
NORTH,The direction in which a compass needle normally points
JIFFY,A moment
DRILL,A tool or machine with a rotating cutting tip or reciprocating hammer
WRIST,The joint connecting the hand with the forearm
RIVAL,A person or thing competing with another for the same objective
WIELD,To hold and use a weapon or tool
CAPER,To skip or dance about in a lively or playful way
EYING,Looking at or observing closely
ZEBRA,An African wild horse with black-and-white stripes
MEANT,Intended to do something
SLEET,A form of precipitation consisting of ice pellets
HAZEL,A temperate shrub or small tree with broad leaves
TRAIN,A series of railroad cars moved as a unit by a locomotive
CADET,A young trainee in the armed services or police force
GAVEL,A small mallet with which an auctioneer, judge, or chairperson hits a surface to call for attention or order
BLOCK,A large solid piece of hard material
MOCHA,A type of fine-quality coffee
FRAME,A rigid structure that surrounds or encloses something
NINTH,Constituting number nine in a sequence
STAKE,A strong wooden or metal post with a point at one end
TONGA,A Polynesian kingdom in the South Pacific
RECAP,To state again as a summary
MINTY,Having the flavor or scent of mint
SWORN,Given under oath
WHOLE,All of; entire
DRAMA,A play for theater, radio, or television
ANGER,A strong feeling of annoyance, displeasure, or hostility
STAVE,A vertical wooden post or plank in a building or other structure
FLASH,To shine in a bright but brief, sudden, or intermittent way
TOWEL,A piece of absorbent cloth or paper used for drying
POKER,A card game played by two or more people
LEAST,Smallest in amount, extent, or significance
TROLL,A mythical, cave-dwelling being depicted in folklore
BUXOM,Plump, especially with a large bust
VYING,Competing eagerly with someone in order to do or achieve something
GLIDE,To move with a smooth continuous motion
BLARE,To make a loud, harsh sound
STOUT,Somewhat fat or of heavy build
DEALT,Past tense of deal
SMIRK,To smile in an irritatingly smug, conceited, or silly way
GAYER,More lighthearted and carefree
WHIFF,A smell that is only smelled briefly or faintly
GENRE,A category of artistic composition
SLOOP,A one-masted sailboat with a fore-and-aft mainsail and a jib
VIVID,Producing powerful feelings or strong, clear images in the mind
FLOUR,A powder obtained by grinding grain
POLKA,A lively dance of Bohemian origin in duple time
UTTER,To make a sound with one's voice
WRACK,A type of seaweed
SPREE,A spell or sustained period of unrestrained activity
FRUIT,The sweet, fleshy product of a tree or other plant that contains seed
FLOOD,An overflowing of a large amount of water
GIVER,A person who gives something
ENEMA,The procedure of introducing liquids into the rectum and colon via the anus
RECUT,To cut again or differently
LEGGY,Having attractively long legs
BULGE,A rounded swelling or protuberance
DUNCE,A person who is slow at learning; a stupid person
LEAFY,Having or covered with leaves
FUNNY,Causing laughter or amusement
TABBY,A gray or brownish cat with dark stripes or patches
ADMIN,Administration; the management of public affairs
SHALL,Expressing a strong assertion or intention
VAPID,Offering nothing that is stimulating or challenging
JOKER,A person who is fond of joking
STIFF,Not easily bent or changed in shape; rigid
VIOLA,A stringed instrument of the violin family, slightly larger than a violin
SHAME,A painful feeling of humiliation or distress
STAIN,To mark or discolor with something that is not easily removed
ABUSE,To use something to bad effect or for a bad purpose
CRUST,The tough outer part of a loaf of bread
TRIAL,A formal examination of evidence before a judge
THEIR,Belonging to or associated with the people or things previously mentioned
TIGER,A very large solitary cat with a yellow-brown coat striped with black
FORGO,To omit or decline to take something pleasant or valuable
HOVER,To remain in one place in the air
SALLY,A sudden charge out of a besieged place against the enemy
AISLE,A passage between rows of seats in a building
MEATY,Resembling meat
LUPUS,A long-term autoimmune disease
COPSE,A small group of trees
RAINY,Having a great deal of rain
RAVEN,A large, heavy-billed crow with glossy black plumage
CYCLE,A series of events that are regularly repeated in the same order
